date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:19:11	54420/54420	---M--	200	added ('OK')	text/plain	etag:%22d494-5747100a238d3%22	http://innovationplans.com/idesign/coco2/fonts/fa-brands-400.woff2	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/fonts/fa-brands-400.woff2	(from http://innovationplans.com/idesign/coco2/css/plugins/fontawesome-all.min.css)
18:19:14	98620/98620	---M--	200	added ('OK')	text/plain	etag:%221813c-574710098902a%22	http://innovationplans.com/idesign/coco2/fonts/fa-brands-400.eot	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/fonts/fa-brands-400.eot	(from http://innovationplans.com/idesign/coco2/css/plugins/fontawesome-all.min.css)
18:19:14	63712/63712	---M--	200	added ('OK')	text/plain	etag:%22f8e0-57471008e9591%22	http://innovationplans.com/idesign/coco2/fonts/fa-brands-400.woff	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/fonts/fa-brands-400.woff	(from http://innovationplans.com/idesign/coco2/css/plugins/fontawesome-all.min.css)
18:19:16	98620/98620	---M--	200	added ('OK')	text/plain	etag:%221813c-574710098902a%22	http://innovationplans.com/idesign/coco2/fonts/fa-brands-400.eot?	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/fonts/fa-brands-400d41d.eot	(from http://innovationplans.com/idesign/coco2/css/plugins/fontawesome-all.min.css)
18:19:19	98384/98384	---M--	200	added ('OK')	text/plain	etag:%2218050-5747100763f0b%22	http://innovationplans.com/idesign/coco2/fonts/fa-brands-400.ttf	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/fonts/fa-brands-400.ttf	(from http://innovationplans.com/idesign/coco2/css/plugins/fontawesome-all.min.css)
18:19:19	403/403	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Aug%202018%2012:49:20%20GMT	http://innovationplans.com/idesign/coco2/fonts/fa-brands-400.svg	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/fonts/fa-brands-400.svg	(from http://innovationplans.com/idesign/coco2/css/plugins/fontawesome-all.min.css)
18:19:21	12220/12220	---M--	200	added ('OK')	text/plain	etag:%222fbc-5747100c1a023%22	http://innovationplans.com/idesign/coco2/fonts/fa-regular-400.woff2	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/fonts/fa-regular-400.woff2	(from http://innovationplans.com/idesign/coco2/css/plugins/fontawesome-all.min.css)
18:19:21	31156/31156	---M--	200	added ('OK')	text/plain	etag:%2279b4-5747100aae7e4%22	http://innovationplans.com/idesign/coco2/fonts/fa-regular-400.eot	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/fonts/fa-regular-400.eot	(from http://innovationplans.com/idesign/coco2/css/plugins/fontawesome-all.min.css)
18:19:22	14712/14712	---M--	200	added ('OK')	text/plain	etag:%223978-5747100ba686a%22	http://innovationplans.com/idesign/coco2/fonts/fa-regular-400.woff	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/fonts/fa-regular-400.woff	(from http://innovationplans.com/idesign/coco2/css/plugins/fontawesome-all.min.css)
18:19:23	31156/31156	---M--	200	added ('OK')	text/plain	etag:%2279b4-5747100aae7e4%22	http://innovationplans.com/idesign/coco2/fonts/fa-regular-400.eot?	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/fonts/fa-regular-400d41d.eot	(from http://innovationplans.com/idesign/coco2/css/plugins/fontawesome-all.min.css)
18:19:23	404/404	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Aug%202018%2012:49:24%20GMT	http://innovationplans.com/idesign/coco2/fonts/fa-regular-400.svg	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/fonts/fa-regular-400.svg	(from http://innovationplans.com/idesign/coco2/css/plugins/fontawesome-all.min.css)
18:19:24	30928/30928	---M--	200	added ('OK')	text/plain	etag:%2278d0-5747100b38eb0%22	http://innovationplans.com/idesign/coco2/fonts/fa-regular-400.ttf	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/fonts/fa-regular-400.ttf	(from http://innovationplans.com/idesign/coco2/css/plugins/fontawesome-all.min.css)
18:19:30	38784/38784	---M--	200	added ('OK')	text/plain	etag:%229780-574710121d0cd%22	http://innovationplans.com/idesign/coco2/fonts/fa-solid-900.woff2	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/fonts/fa-solid-900.woff2	(from http://innovationplans.com/idesign/coco2/css/plugins/fontawesome-all.min.css)
18:19:33	48704/48704	---M--	200	added ('OK')	text/plain	etag:%22be40-57471010f65e2%22	http://innovationplans.com/idesign/coco2/fonts/fa-solid-900.woff	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/fonts/fa-solid-900.woff	(from http://innovationplans.com/idesign/coco2/css/plugins/fontawesome-all.min.css)
18:19:35	402/402	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Aug%202018%2012:49:36%20GMT	http://innovationplans.com/idesign/coco2/fonts/fa-solid-900.svg	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/fonts/fa-solid-900.svg	(from http://innovationplans.com/idesign/coco2/css/plugins/fontawesome-all.min.css)
